Player,Position,Team,Total Value,Average Per Year,Total Guaranteed
Brandon Scherff,RG,Jaguars,"$10,000,000","$10,000,000","$9,750,000"
Taysom Hill,TE,Saints,"$40,000,000","$10,000,000","$10,100,000"
Sam Hubbard,EDGE,Bengals,"$40,000,000","$10,000,000","$10,000,000"
Brandin Cooks,WR,Cowboys,"$20,000,000","$10,000,000","$12,000,000"
B.J. Hill,IDL,Bengals,"$30,000,000","$10,000,000","$13,000,000"
Sam Darnold,QB,Vikings,"$10,000,000","$10,000,000","$8,750,000"
Joe Mixon,RB,Texans,"$19,750,000","$9,875,000","$13,000,000"
Caleb Williams,QB,Bears,"$39,486,058","$9,871,515","$39,486,058"
Dawson Knox,TE,Bills,"$29,500,000","$9,833,333","$12,750,000"
Larry Ogunjobi,IDL,Steelers,"$28,750,000","$9,583,333","$12,000,000"
Jonathan Jones,CB,Patriots,"$19,000,000","$9,500,000","$13,000,000"
James Conner,RB,Cardinals,"$19,000,000","$9,500,000","$8,250,000"
Bryce Young,QB,Panthers,"$37,955,074","$9,488,769","$37,955,074"
Jayden Daniels,QB,Commanders,"$37,746,650","$9,436,663","$37,746,650"
Travon Walker,EDGE,Jaguars,"$37,372,624","$9,343,156","$37,372,624"
Drake Maye,QB,Patriots,"$36,639,764","$9,159,941","$36,639,764"
David Montgomery,RB,Lions,"$18,250,000","$9,125,000","$5,250,000"
C.J. Stroud,QB,Texans,"$36,279,246","$9,069,812","$36,279,246"
Yetur Gross-Matos,EDGE,49ers,"$18,000,000","$9,000,000","$9,390,000"
Hunter Henry,TE,Patriots,"$27,000,000","$9,000,000","$15,800,000"
Rhamondre Stevenson,RB,Patriots,"$36,000,000","$9,000,000","$17,116,000"
Davon Godchaux,IDL,Patriots,"$18,000,000","$9,000,000","$15,650,000"
"Chauncey Gardner-Johnson, Jr.",S,Eagles,"$27,000,000","$9,000,000","$10,000,000"
Harrison Smith,S,Vikings,"$9,000,000","$9,000,000","$7,000,000"
Logan Wilson,LB,Bengals,"$36,000,000","$9,000,000","$10,000,000"
Aidan Hutchinson,EDGE,Lions,"$35,715,388","$8,928,847","$35,715,388"
Marvin Harrison Jr.,WR,Cardinals,"$35,374,742","$8,843,686","$35,374,742"
James Daniels,RG,Steelers,"$26,500,000","$8,833,333","$8,750,000"
Will Anderson Jr.,EDGE,Texans,"$35,212,818","$8,803,205","$35,212,818"
Zach Wilson,QB,Broncos,"$35,150,680","$8,787,695","$35,150,680"
Byron Murphy,CB,Vikings,"$17,500,000","$8,750,000","$8,100,000"
Alex Cappa,RG,Bengals,"$35,000,000","$8,750,000","$11,000,000"
Jordyn Brooks,LB,Dolphins,"$26,250,000","$8,750,000","$9,500,000"
Austin Corbett,RG,Panthers,"$26,250,000","$8,750,000","$19,600,000"
Derek Stingley Jr.,CB,Texans,"$34,657,516","$8,664,379","$34,657,516"
Demario Davis,LB,Saints,"$17,250,000","$8,625,000","$13,250,000"
C.J. Mosley,LB,Jets,"$17,250,000","$8,625,000","$13,250,000"
Trey Lance,QB,Cowboys,"$34,105,258","$8,526,315","$34,105,258"
Tyler Higbee,TE,Rams,"$17,000,000","$8,500,000","$11,075,980"
Sean Murphy-Bunting,CB,Cardinals,"$25,500,000","$8,500,000","$14,195,000"
Lavonte David,LB,Buccaneers,"$8,500,000","$8,500,000","$8,500,000"
Anthony Richardson,QB,Colts,"$33,994,030","$8,498,508","$33,994,030"
Ahmad Gardner,CB,Jets,"$33,450,798","$8,362,700","$33,450,798"
Jabrill Peppers,S,Patriots,"$25,000,000","$8,333,333","$11,680,000"
Adam Thielen,WR,Panthers,"$25,000,000","$8,333,333","$14,000,000"
Chuba Hubbard,RB,Panthers,"$33,200,000","$8,300,000","$12,058,000"
Joe Alt,RT,Chargers,"$33,160,944","$8,290,236","$33,160,944"
Kyle Pitts,TE,Falcons,"$32,910,496","$8,227,624","$32,910,496"
Dre Greenlaw,LB,49ers,"$16,400,000","$8,200,000","$7,008,301"
Charles Omenihu,EDGE,Chiefs,"$16,000,000","$8,000,000","$8,600,000"
Jacoby Brissett,QB,Patriots,"$8,000,000","$8,000,000","$6,500,000"
Andrew Wylie,RT,Commanders,"$24,000,000","$8,000,000","$12,000,000"
Curtis Samuel,WR,Bills,"$24,000,000","$8,000,000","$14,020,000"
D'Andre Swift,RB,Bears,"$24,000,000","$8,000,000","$14,000,000"
Isaac Seumalo,LG,Steelers,"$24,000,000","$8,000,000","$6,950,000"
Samson Ebukam,EDGE,Colts,"$24,000,000","$8,000,000","$10,755,000"
Ezra Cleveland,LG,Jaguars,"$24,000,000","$8,000,000","$14,250,000"
Mike Danna,EDGE,Chiefs,"$24,000,000","$8,000,000","$13,000,000"
Andre James,C,Raiders,"$24,000,000","$8,000,000","$13,000,000"
Derrick Henry,RB,Ravens,"$16,000,000","$8,000,000","$9,000,000"
DaQuan Jones,IDL,Bills,"$16,000,000","$8,000,000","$10,500,000"
Devon Witherspoon,CB,Seahawks,"$31,861,152","$7,965,288","$31,861,152"
Kayvon Thibodeaux,EDGE,Giants,"$31,339,040","$7,834,760","$31,339,040"
Kenneth Murray,LB,Titans,"$15,500,000","$7,750,000","$7,490,000"
Ja'Marr Chase,WR,Bengals,"$30,819,642","$7,704,911","$30,819,642"
Robert Woods,WR,Texans,"$15,250,000","$7,625,000","$10,000,000"
Harrison Phillips,IDL,Vikings,"$15,000,000","$7,500,000","$10,266,667"
Kevin Byard,S,Bears,"$15,000,000","$7,500,000","$7,390,000"
Colby Parkinson,TE,Rams,"$22,500,000","$7,500,000","$10,250,000"
A'Shawn Robinson,IDL,Panthers,"$22,500,000","$7,500,000","$7,375,000"
Ronnie Stanley,LT,Ravens,"$7,500,000","$7,500,000","$6,000,000"
Blake Cashman,LB,Vikings,"$22,500,000","$7,500,000","$9,475,000"
Justin Simmons,S,Falcons,"$7,500,000","$7,500,000","$7,500,000"
Pete Werner,LB,Saints,"$22,500,000","$7,500,000","$11,185,185"
John Franklin-Myers,EDGE,Broncos,"$15,000,000","$7,500,000","$8,000,000"
Kendall Fuller,CB,Dolphins,"$15,000,000","$7,500,000","$7,975,000"
Darious Williams,CB,Rams,"$22,500,000","$7,500,000","$10,000,000"
Connor McGovern,LG,Bills,"$22,350,000","$7,450,000","$9,900,000"
Malik Nabers,WR,Giants,"$29,207,750","$7,301,938","$29,207,750"
Trey Pipkins,RT,Chargers,"$21,750,000","$7,250,000","$13,250,000"
Tony Pollard,RB,Titans,"$21,750,000","$7,250,000","$10,490,000"
Darnell Savage Jr.,S,Jaguars,"$21,750,000","$7,250,000","$12,500,000"
Javon Kinlaw,IDL,Jets,"$7,250,000","$7,250,000","$6,910,000"
Roy Robertson-Harris,IDL,Seahawks,"$21,600,000","$7,200,000","$14,400,000"
Kaden Elliss,LB,Falcons,"$21,500,000","$7,166,667","$10,160,000"
Paris Johnson Jr.,RT,Cardinals,"$28,052,460","$7,013,115","$28,052,460"
DeMarcus Walker,IDL,Bears,"$21,000,000","$7,000,000","$10,500,000"
Malik Hooker,S,Cowboys,"$21,000,000","$7,000,000","$11,000,000"
Josh Oliver,TE,Vikings,"$21,000,000","$7,000,000","$8,200,000"
Jerome Baker,LB,Titans,"$7,000,000","$7,000,000","$6,022,500"
Zaven Collins,LB,Cardinals,"$14,000,000","$7,000,000","$11,250,000"
Marquise Brown,WR,Chiefs,"$7,000,000","$7,000,000","$6,500,000"
Raekwon Davis,IDL,Colts,"$14,000,000","$7,000,000","$7,000,000"
Geno Stone,S,Bengals,"$14,000,000","$7,000,000","$6,000,000"
Aaron Jones,RB,Vikings,"$7,000,000","$7,000,000","$7,000,000"
Stephon Gilmore,CB,Vikings,"$7,000,000","$7,000,000","$7,000,000"
Aaron Brewer,C,Dolphins,"$21,000,000","$7,000,000","$10,215,000"
Donovan Wilson,S,Cowboys,"$21,000,000","$7,000,000","$13,500,000"
Bilal Nichols,IDL,Cardinals,"$21,000,000","$7,000,000","$12,000,000"
Jermaine Eluemunor,LT,Giants,"$14,000,000","$7,000,000","$6,750,000"
Rasul Douglas,CB,Bills,"$21,000,000","$7,000,000","$5,300,000"
Arden Key,EDGE,Titans,"$21,000,000","$7,000,000","$13,000,000"
Juan Thornhill,S,Browns,"$21,000,000","$7,000,000","$14,000,000"
Ikem Ekwonu,LT,Panthers,"$27,568,050","$6,892,013","$27,568,050"
Tyrann Mathieu,S,Saints,"$13,750,000","$6,875,000","$7,500,000"
Germaine Pratt,LB,Bengals,"$20,250,000","$6,750,000","$7,000,000"
Ja'Whaun Bentley,LB,Patriots,"$13,500,000","$6,750,000","$9,000,000"
Joseph Noteboom,LT,Rams,"$6,750,000","$6,750,000","$6,000,000"
